Decision analysis;Category;Domain;Item
Characteristics;Action Type;Air Traffic;Preventive or corrective 
Characteristics;Action Type;Electricity;Preventive or corrective 
Characteristics;Action Type;Railway;Preventive (operational adjustments) 
Characteristics;Implementation;Air Traffic;Planed or real-time 
Characteristics;Implementation;Electricity;Planed or real-time 
Characteristics;Implementation;Railway;Real-time
Characteristics;Size of action space;Air Traffic;Large and mixed action space
Characteristics;Size of action space;Electricity;Large and mixed action space
Characteristics;Size of action space;Railway;Large and mixed action space
Characteristics;Time Constraints;Air Traffic;Strategic planning
Characteristics;Time Constraints;Air Traffic;Operational adjustments
Characteristics;Time Constraints;Air Traffic;Unexpected conditions
Characteristics;Time Constraints;Air Traffic;Pre-tactical 
Characteristics;Time Constraints;Air Traffic;Tactical
Characteristics;Time Constraints;Electricity;Last Time To Decide (LTTD)
Characteristics;Time Constraints;Railway;Emergency Responses
Characteristics;Time Constraints;Railway;Operational Adjustments
Characteristics;Time Constraints;Railway;Maintenance Scheduling
Characteristics;Time Constraints;Railway;Strategic Planning
Characteristics;Time step;Air Traffic;Real-time to medium-term
Characteristics;Time step;Electricity;Real-time to long-term
Characteristics;Time step;Railway;Real-time to long-term
Characteristics;Trade-offs;Air Traffic;Capacity versus Efficiency
Characteristics;Trade-offs;Electricity;Risk versus consequences 
Characteristics;Trade-offs;Railway;Safety versus efficiency
Characteristics;Trade-offs;Railway;Cost versus innovation
Characteristics;Trade-offs;Railway;Capacity versus quality of Service
Characteristics;Trade-offs;Railway;Operational flexibility versus standardization
Context;Constraints;Air Traffic;Network capacity 
Context;Constraints;Air Traffic;Military area activation
Context;Constraints;Air Traffic;Adverse weather or disruptive events
Context;Constraints;Air Traffic;Separations 
Context;Constraints;Air Traffic;Sectorization 
Context;Constraints;Air Traffic;Staff workload
Context;Constraints;Electricity;Exceeding network capacity 
Context;Constraints;Railway;Train Frequency and Schedule Constraints
Context;Constraints;Railway;Operational Strategies
Context;Constraints;Railway;Human Factors
Context;Forecasting;Air Traffic;Military airspace activations
Context;Forecasting;Air Traffic;Weather condition
Context;Forecasting;Air Traffic;Staff shortages
Context;Forecasting;Air Traffic;Scheduled maintenance of equipment
Context;Forecasting;Electricity;Transit flows 
Context;Forecasting;Electricity;Local generation or consumption
Context;Forecasting;Electricity;Outage risk
Context;Forecasting;Electricity;Topology
Context;Forecasting;Railway;Passenger and Freight Demand
Context;Forecasting;Railway;Traffic Flow and Congestion
Context;Forecasting;Railway;Weather Impact 
Context;Forecasting;Railway;Infrastructure Failure Risks
Context;Forecasting;Railway;Operational Delays
Context;Network capacity;Air Traffic;Area 
Context;Network capacity;Air Traffic;Route structure
Context;Network capacity;Air Traffic;Aeronautical Systems and Equipment availability
Context;Network capacity;Air Traffic;Demand 
Context;Network capacity;Air Traffic;Airport Infrastructure
Context;Network capacity;Air Traffic;Staff availability
Context;Network capacity;Electricity;Capacity of transmission lines
Context;Network capacity;Railway;Train Frequency and Schedule
Context;Network capacity;Railway;Operational Strategies
Context;Operators;Air Traffic;One or multiple operators
Context;Operators;Electricity;Multiple operators
Context;Operators;Railway;Multiple operators
Context;Observations;Air Traffic;Information from different platforms
Context;Observations;Air Traffic;External events
Context;Observations;Electricity;Power Grid State
Context;Observations;Electricity;Availability of actions
Context;Observations;Electricity;External context
Context;Observations;Electricity;Wheather conditions
Context;Observations;Railway;Infrastructure Condition
Context;Observations;Railway;Weather Conditions
Context;Observations;Railway;Train Status and Performance
Context;Observations;Railway;Signal and Control System Status
Context;Observations;Railway;Traffic Flow and Congestion
Context;Observations;Railway;External Events
Context;Possible Events;Air Traffic;Partial airspace closure
Context;Possible Events;Air Traffic;Operational disruptions 
Context;Possible Events;Air Traffic;Adverse Weather
Context;Possible Events;Air Traffic;Sector Capacity overload
Context;Possible Events;Air Traffic;Cybersecurity incidents
Context;Possible Events;Air Traffic;Accidents and emergencies
Context;Possible Events;Air Traffic;Regional or global health emergencies
Context;Possible Events;Electricity;Outage of a grid element
Context;Possible Events;Electricity;Differences between forecasted flows and real flows
Context;Possible Events;Railway;Technical Failures
Context;Possible Events;Railway;Environmental Conditions
Context;Possible Events;Railway;Accidents and Emergencies
Context;Possible Events;Railway;Operational Disruptions
Context;Possible Events;Railway;Health Emergencies
Context;Uncertainty;Air Traffic;Weather and Environmental Conditions
Context;Uncertainty;Air Traffic;Technical Failures
Context;Uncertainty;Air Traffic;Human Factors 
Context;Uncertainty;Air Traffic;Cybersecurity Threats
Context;Uncertainty;Electricity;Transit flows
Context;Uncertainty;Electricity;Remedial action availability
Context;Uncertainty;Electricity;Maintenance operations
Context;Uncertainty;Electricity;Outage planning
Context;Uncertainty;Railway;Infrastructure Repairs and Upgrades
Context;Uncertainty;Railway;Weather and Environmental Conditions
Context;Uncertainty;Railway;Technical Failures 
Context;Uncertainty;Railway;Human Factors
Context;Uncertainty;Railway;Passenger and Freight Demand
Evaluation (KPIs);Cognitive load;Air Traffic;Workload perception
Evaluation (KPIs);Cognitive load;Air Traffic;Human Response Time
Evaluation (KPIs);Cognitive load;Electricity;Workload
Evaluation (KPIs);Cognitive load;Electricity;Assistant disturbance
Evaluation (KPIs);Cognitive load;Railway;Human Information Processing
Evaluation (KPIs);Efficiency of combined human-AI performance;Electricity;Total decision time
Evaluation (KPIs);Efficiency of combined human-AI performance;Electricity;Ability to anticipate
Evaluation (KPIs);Efficiency of combined human-AI performance;Railway;Response time
Evaluation (KPIs);Efficiency of combined human-AI performance;Railway;Punctuality
Evaluation (KPIs);Efficiency of combined human-AI performance;Railway;Ability to anticipate
Evaluation (KPIs);Human-AI interaction;Air Traffic;AI co learning capability
Evaluation (KPIs);Human-AI interaction;Electricity;Human control and autonomy over the process
Evaluation (KPIs);Human-AI interaction;Electricity;Human learning
Evaluation (KPIs);Human-AI interaction;Electricity;Decision support for the human operator
Evaluation (KPIs);Human-AI interaction;Railway;Human control and autonomy over the process
Evaluation (KPIs);Human-AI interaction;Railway;Human learning
Evaluation (KPIs);Human-AI interaction;Railway;Decision support for the human operator
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Prompt demand rate
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Significance of human revisions
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Efficiency score
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Acceptance score
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Agreement score
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Air Traffic;Decision Support satisfaction
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Electricity;Assistant relevance
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Electricity;Situation awareness
Evaluation (KPIs);Quality of AI-based solutions perceived by human operators;Railway;Acceptance score
